base,method,path,auth,roles,csrf_required,rate_limit_bucket,notes
/api/public-site,POST,/admin/upload,authenticated,SUPER_ADMIN|CONTENT_ADMIN,yes,apiLimiter,Uploads public assets
/api/public-site,GET,/admin/galleries,authenticated,SUPER_ADMIN|CONTENT_ADMIN,yes,apiLimiter,Admin CMS list
/api/public-site,POST,/admin/galleries,authenticated,SUPER_ADMIN|CONTENT_ADMIN,yes,apiLimiter,Admin CMS create
/api/public-site,PUT,/admin/galleries/:id,authenticated,SUPER_ADMIN|CONTENT_ADMIN,yes,apiLimiter,Admin CMS update
/api/public-site,DELETE,/admin/galleries/:id,authenticated,SUPER_ADMIN|CONTENT_ADMIN,yes,apiLimiter,Admin CMS delete
/api/public-site,GET,/admin/recruitments,authenticated,SUPER_ADMIN|CONTENT_ADMIN,yes,apiLimiter,Admin CMS list
/api/public-site,POST,/admin/recruitments,authenticated,SUPER_ADMIN|CONTENT_ADMIN,yes,apiLimiter,Admin CMS create
/api/public-site,PUT,/admin/recruitments/:id,authenticated,SUPER_ADMIN|CONTENT_ADMIN,yes,apiLimiter,Admin CMS update
/api/public-site,DELETE,/admin/recruitments/:id,authenticated,SUPER_ADMIN|CONTENT_ADMIN,yes,apiLimiter,Admin CMS delete
/api/cron,GET,/trigger,cron,Cron secret header/bearer,no,none,guardCron applied in app.ts; triggers scheduled jobs

